,date,hospitalized
0,2020-03-21,0.0
1,2020-03-22,0.0
2,2020-03-23,0.0
3,2020-03-24,0.0
4,2020-03-25,0.0
5,2020-03-26,0.0
6,2020-03-27,0.0
7,2020-03-28,0.0
8,2020-03-29,0.0
9,2020-03-30,0.0
10,2020-03-31,0.0
11,2020-04-01,0.0
12,2020-04-02,0.0
13,2020-04-03,0.0
14,2020-04-04,0.0
15,2020-04-05,0.0
16,2020-04-06,0.0
17,2020-04-07,93.0
18,2020-04-08,74.0
19,2020-04-09,73.0
20,2020-04-10,58.0
21,2020-04-11,75.0
22,2020-04-12,68.0
23,2020-04-13,64.0
24,2020-04-14,78.0
25,2020-04-15,65.0
26,2020-04-16,67.0
27,2020-04-17,29.0
28,2020-04-18,57.0
29,2020-04-19,73.0
30,2020-04-20,61.0
31,2020-04-21,72.0
32,2020-04-22,66.0
33,2020-04-23,83.0
34,2020-04-24,55.0
35,2020-04-25,51.0
36,2020-04-26,58.0
37,2020-04-27,73.0
38,2020-04-28,86.0
39,2020-04-29,73.0
40,2020-04-30,83.0
41,2020-05-01,52.0
42,2020-05-02,87.0
43,2020-05-03,70.0
44,2020-05-04,85.0
45,2020-05-05,64.0
46,2020-05-06,69.0
47,2020-05-07,77.0
48,2020-05-08,56.0
49,2020-05-09,72.0
50,2020-05-10,56.0
51,2020-05-11,78.0
52,2020-05-12,71.0
53,2020-05-13,75.0
54,2020-05-14,52.0
55,2020-05-15,46.0
56,2020-05-16,52.0
57,2020-05-17,43.0
58,2020-05-18,70.0
59,2020-05-19,74.0
60,2020-05-20,63.0
61,2020-05-21,62.0
62,2020-05-22,31.0
63,2020-05-23,66.0
64,2020-05-24,58.0
65,2020-05-25,41.0
66,2020-05-26,45.0
67,2020-05-27,47.0
68,2020-05-28,52.0
69,2020-05-29,38.0
70,2020-05-30,44.0
71,2020-05-31,50.0
72,2020-06-01,51.0
73,2020-06-02,58.0
74,2020-06-03,52.0
75,2020-06-04,52.0
76,2020-06-05,49.0
77,2020-06-06,47.0
78,2020-06-07,42.0
79,2020-06-08,47.0
80,2020-06-09,48.0
81,2020-06-10,43.0
82,2020-06-11,33.0
83,2020-06-12,33.0
84,2020-06-13,38.0
85,2020-06-14,40.0
86,2020-06-15,26.0
87,2020-06-16,41.0
88,2020-06-17,42.0
89,2020-06-18,36.0
90,2020-06-19,34.0
91,2020-06-20,29.0
92,2020-06-21,25.0
93,2020-06-22,33.0
94,2020-06-23,22.0
95,2020-06-24,30.0
96,2020-06-25,32.0
97,2020-06-26,33.0
98,2020-06-27,32.0
99,2020-06-28,34.0
100,2020-06-29,48.0
101,2020-06-30,30.0
102,2020-07-01,43.0
103,2020-07-02,40.0
104,2020-07-03,39.0
105,2020-07-04,41.0
106,2020-07-05,39.0
107,2020-07-06,40.0
108,2020-07-07,55.0
109,2020-07-08,48.0
110,2020-07-09,58.0
